id,section,section_title_he,source_lessons,section_goal_he,node_title_he,skill_he,explain_he,exercise,items_he,trap_feedback_he,pass_rule,node_source
4.c.3.1,3,Eye Catchers · מספרים,L2 · טקסטים THE CITY GARDEN PROJECT · SPORT FOR ALL · דפוס P2,התלמיד רואה מספר בשאלה ומגיע ישירות למקור הנכון שלו בטקסט — לא לכל מספר אחר.,ארבע משפחות ה-Eye Catchers,התלמיד מסווג מילה למשפחה הנכונה ויודע איזו פעולה כל משפחה מפעילה.,"העין שלך כבר עושה חצי מהעבודה: כשאתה מסתכל על טקסט באנגלית, יש דברים שקופצים לך לעין — מספרים, שמות באות גדולה, מילים כמו ""not"". במקום להתעלם מזה, נהפוך את זה לשיטה. ארבע משפחות, כל אחת מפעילה פעולה אחרת.",CLASSIFY · 8 פריטים · 85% · however · Dr. Wu · only · Greenville · cannot · three hours · the main reason,"מספרים → 30% · five years · 2,000 trees → זהו נתון — לאיזה שם עצם הוא שייך? ⏐ שמות → Dr. Klein · Greenville · Oslo University → זו כתובת — לאיזו פסקה? ⏐ שלילה → cannot · never · not all → המשמעות מתהפכת — קרא שוב לאט ⏐ מילות הגבלה → most · only · main → יש תשובה אחת בלבד",,7/8.,"L2 · ""Eye Catchers in this text — 4 families"""
4.c.3.2,3,Eye Catchers · מספרים,L2 · טקסטים THE CITY GARDEN PROJECT · SPORT FOR ALL · דפוס P2,התלמיד רואה מספר בשאלה ומגיע ישירות למקור הנכון שלו בטקסט — לא לכל מספר אחר.,מספר = ספרה + שם עצם,"התלמיד מסמן מספר יחד עם שם העצם שלו, לא לבד.","אל תסמן ספרה. 2,000 לבד לא אומר כלום — כשתחזור לחפש, לא תדע אם זה עצים, מתנדבים או דולרים. תמיד סמן את הצירוף: 2,000 trees, three hours, 85% of residents. זה מה שמאפשר לך להתאים מספר לשאלה תוך שנייה.",MARK · 8 משפטים,"""They planted over 2,000 trees and created 15 community gardens."" → 2,000 trees · 15 community gardens ⏐ ""The volunteers spent an average of three hours a week."" → three hours a week ⏐ ""85% of Greenville residents now say the city is a better place to live."" → 85% of residents ⏐ ""stress levels among residents had fallen by 40%"" → 40% צמוד ל-stress levels ⏐ ""over 30% of adults in large cities cannot swim"" → 30% of adults ⏐ ""Her team worked with more than 300 volunteers."" → 300 volunteers ⏐ ""visits from city planners from over 50 countries"" → 50 countries ⏐ ""more than 500 million people worldwide now use language apps"" → 500 million people","""סימנת את המספר בלי לדעת של מה הוא. בשאלה ישאלו 'כמה עצים' או 'כמה מתנדבים' — בלי שם העצם הסימון לא יעזור לך.""",90%.,L2 · schema.md של הפרויקט (# + noun)
4.c.3.3,3,Eye Catchers · מספרים,L2 · טקסטים THE CITY GARDEN PROJECT · SPORT FOR ALL · דפוס P2,התלמיד רואה מספר בשאלה ומגיע ישירות למקור הנכון שלו בטקסט — לא לכל מספר אחר.,גם מילים הן מספרים,התלמיד מזהה מספרים שאינם כתובים בספרות.,"Five years ago הוא מספר. כך גם twice a week, half of the students, ten years. אם אתה סורק רק ספרות, תפספס בדיוק את המספרים שהבוחן אוהב לשאול עליהם — כי הם פחות בולטים.",MARK · פסקה שלמה · 8 יעדים,,"""פספסת את Five years ago — כי אין שם ספרה. מספר כתוב במילים הוא עדיין מספר.""",90% · עד 2 סימונים מיותרים.,"L2 · ספירת המורה: ""How many numbers did you find? → 8"""
4.c.3.4,3,Eye Catchers · מספרים,L2 · טקסטים THE CITY GARDEN PROJECT · SPORT FOR ALL · דפוס P2,התלמיד רואה מספר בשאלה ומגיע ישירות למקור הנכון שלו בטקסט — לא לכל מספר אחר.,לכל מספר יש בעלים,התלמיד מתאים כל מספר בטקסט לשם העצם שלו ולא מבלבל בין שני מספרים באותה פסקה.,"בפסקה אחת יכולים להיות ארבעה מספרים. הבוחן יודע את זה, ולכן הוא בונה מסיחים שמשתמשים במספר האמיתי — רק על הדבר הלא נכון. 85% הם התושבים שאומרים שהעיר טובה יותר. 40% הם ירידת הלחץ. תחליף ביניהם — התשובה שגויה, למרות ששני המספרים אמיתיים.",CLASSIFY · 6 זוגות · גרירת מספר לשם העצם שלו (CITY GARDEN פסקה III + II),"85% → residents who say the city is a better place to live ⏐ 40% → the fall in stress levels ⏐ 300 → volunteers who worked with the team ⏐ three hours → time each volunteer spent per week ⏐ 50 → countries whose city planners visit ⏐ 2,000 → trees planted","""החלפת בין שני מספרים אמיתיים. זו בדיוק המלכודת — לכל מספר יש שם עצם צמוד, וזה מה שקובע.""",5/6.,"L2 · טעות מתועדת: ""Student confuses two numbers (85% and 40%)"""
4.c.3.5,3,Eye Catchers · מספרים,L2 · טקסטים THE CITY GARDEN PROJECT · SPORT FOR ALL · דפוס P2,התלמיד רואה מספר בשאלה ומגיע ישירות למקור הנכון שלו בטקסט — לא לכל מספר אחר.,P2 — מספר בשאלה,"התלמיד סורק מספר שנמצא ליד שם העצם שבשאלה, ולא כל מספר בטקסט.","How many trees... — אתה לא מחפש מספרים. אתה מחפש את המילה trees, ואז מסתכל מה צמוד אליה. ככה אתה לא נופל על 15 gardens או 300 volunteers שנמצאים באותה פסקה בדיוק.",GAP · 4 פריטים,"""How many trees did the charity plant in Greenville?"" → *The charity planted* over 2,000 trees ⏐ ""How many hours a week did the volunteers spend in the gardens?"" → *The volunteers spent an average of* three hours a week working in the gardens ⏐ ""How many students did Dr. Fatima Hasan study?"" (SLEEP DEBATE) → *She studied* 3,000 high school students ⏐ ""How many people currently have no access to safe drinking water?"" (WATER CRISIS) → *Over* 2 billion people",,3/4 · מקבלים ניסוחים חלופיים סבירים.,L2 · Q1 · L5 T1 · L7 T1
4.c.3.6,3,Eye Catchers · מספרים,L2 · טקסטים THE CITY GARDEN PROJECT · SPORT FOR ALL · דפוס P2,התלמיד רואה מספר בשאלה ומגיע ישירות למקור הנכון שלו בטקסט — לא לכל מספר אחר.,"מספר אמיתי, הקשר שגוי",התלמיד פוסל אפשרות שמצטטת מספר קיים בטקסט אך עונה על שאלה אחרת.,"""המספר מופיע בטקסט"" הוא לא נימוק. ברוב שאלות הרב-ברירה, לפחות מסיח אחד בנוי בדיוק ככה: מספר אמיתי, מהפסקה הנכונה — אבל הוא עונה על שאלה שלא נשאלה.",MCQ · 4 פריטים · לכל אפשרות שגויה נדרש נימוק,"i) Why he decided to study the Greenville project ✗ — הסיבה שלו לא מוזכרת בכלל ⏐ ii) How stress levels changed among residents ✓ — *""stress levels among residents had fallen by 40%""* ⏐ iii) How many people visited Greenville from other countries ✗ — 50 מדינות הוא נתון אמיתי מפסקה III, אבל הוא על הפרויקט, לא על ממצאיו של Wu ⏐ iv) Why he disagrees with Dr. Santos's findings ✗ — אין מחלוקת בטקסט","""המספר אמיתי ומהפסקה הנכונה. אבל השאלה שאלה מה Wu מצא — ו-50 המדינות אינן ממצא שלו. שם בשאלה מצמצם את החיפוש לממצא שלו בלבד.""",3/4.,"L2 · ""Key teaching point: option iii) uses a real number — classic distractor"""
4.c.3.7,3,Eye Catchers · מספרים,L2 · טקסטים THE CITY GARDEN PROJECT · SPORT FOR ALL · דפוס P2,התלמיד רואה מספר בשאלה ומגיע ישירות למקור הנכון שלו בטקסט — לא לכל מספר אחר.,שער סקשן 3,,,CHECK · שלב סימון + 3 שאלות · TIMED 8 דקות · טקסט SPORT FOR ALL,,,80%.,
4.c.4.1,4,Eye Catchers · שמות,L2 · דפוס P3 · טקסטים CITY GARDEN · SPORT FOR ALL,שם בשאלה = כתובת פסקה. התלמיד קורא רק את הפסקה של אותו אדם.,מה נחשב שם,"התלמיד מזהה שם פרטי, תואר, מוסד ועיר כמצביעי מיקום.","""שם"" הוא לא רק שם של בן אדם. גם Greenville, גם University of Oslo, גם Global Forest Watch — כולם מתנהגים אותו דבר: הם מופיעים במקום אחד בטקסט, ולכן הם כתובת. הסימן החיצוני הוא אות גדולה באמצע משפט.","CLASSIFY · 8 פריטים · ""שם"" מול ""לא שם""",,"""a local charity מופיע בטקסט אבל אינו שם — אין לו אות גדולה, והוא יכול לחזור בכל פסקה. שם הוא ייחודי.""",7/8.,L2 · legend
4.c.4.2,4,Eye Catchers · שמות,L2 · דפוס P3 · טקסטים CITY GARDEN · SPORT FOR ALL,שם בשאלה = כתובת פסקה. התלמיד קורא רק את הפסקה של אותו אדם.,סימון שם במשפט,סימון מהיר של שמות בתוך משפט.,,MARK · 8 משפטים,"""The person behind this change is Dr. Maria Santos, a professor at Greenville University."" → Dr. Maria Santos · Greenville University ⏐ ""Professor James Wu found that stress levels had fallen by 40%."" → Professor James Wu ⏐ ""says Dr. Anna Klein, a sports psychologist at the University of Oslo"" → Dr. Anna Klein · University of Oslo ⏐ ""According to Dr. Laura Kim, who runs the programme..."" → Dr. Laura Kim ⏐ ""Professor Marcus Allen of Portland State University found..."" → Professor Marcus Allen · Portland State University ⏐ ""says Dr. Yuki Tanaka, a language researcher at Tokyo University"" → Dr. Yuki Tanaka · Tokyo University ⏐ ""Five years ago, the streets of Greenville had almost no plants."" → Greenville ⏐ ""A new community sports programme in the city of Portland..."" → Portland",,90%.,
4.c.4.3,4,Eye Catchers · שמות,L2 · דפוס P3 · טקסטים CITY GARDEN · SPORT FOR ALL,שם בשאלה = כתובת פסקה. התלמיד קורא רק את הפסקה של אותו אדם.,טבלת שם ← פסקה,"לפני שעונים על שאלות, התלמיד ממפה כל שם לפסקה שלו.","עשרים שניות שחוסכות חמש דקות: לפני שאתה קורא את השאלות, עבור על הטקסט וסמן את השמות. עכשיו יש לך מפה. כל שאלה שמזכירה שם — אתה כבר יודע לאן ללכת, בלי לחפש.",MARK + CLASSIFY · טקסט CITY GARDEN מלא,Greenville → I (וגם השאר — זו העיר של כל הטקסט) ⏐ Dr. Maria Santos → II ⏐ Greenville University → II ⏐ Professor James Wu → III,,מיפוי מלא ונכון.,"L2 · ""Which paragraph has Dr. Santos in it? → II"""
4.c.4.4,4,Eye Catchers · שמות,L2 · דפוס P3 · טקסטים CITY GARDEN · SPORT FOR ALL,שם בשאלה = כתובת פסקה. התלמיד קורא רק את הפסקה של אותו אדם.,P3 — לקרוא רק אצלו,התלמיד קורא את הפסקה של השם שבשאלה בלבד.,שם בשאלה → הפסקה שלו → תשובה. אל תיגע בפסקאות האחרות. הן קיימות כדי לבלבל אותך: הן מכילות מידע אמיתי שלא רלוונטי לשאלה הזו.,GAP · 4 פריטים,"""According to Dr. Maria Santos, what did her team want to show?"" → *that any city can become greener in less than ten years* ⏐ ""According to Dr. Anna Klein, why do adults become stronger swimmers?"" → *because adults understand what the teacher explains and can correct their mistakes more quickly* (או: *they are not afraid to ask questions*) ⏐ ""According to Professor Yuki Tanaka, what is more important than the number of hours slept?"" → *the quality of sleep* ⏐ ""According to Dr. Layla Ahmed, what is the most effective solution?"" → *to invest in local water treatment systems rather than relying on international aid*","""הגעת לפסקה הנכונה — אבל קראת גם את השאר. זה הזמן שיחסר לך בכתיבה.""",3/4.,L2 Q2 · L1 Q2 · L5 T2 · L7 T2
4.c.4.5,4,Eye Catchers · שמות,L2 · דפוס P3 · טקסטים CITY GARDEN · SPORT FOR ALL,שם בשאלה = כתובת פסקה. התלמיד קורא רק את הפסקה של אותו אדם.,מי אמר מה,התלמיד מייחס ציטוט או ממצא למומחה הנכון כששניים מופיעים באותו טקסט.,"ברוב טקסטי מודול C יש שני מומחים, ולעתים הם חלוקים. זה לא במקרה: המסיח הכי יעיל הוא ממצא אמיתי — של האדם הלא נכון. לפני שאתה עונה, ודא של מי הממצא.",MCQ · 5 פריטים,"""We bring the sport to the people, not the people to the sport"" → Dr. Laura Kim (SPORT FOR ALL) ⏐ ממצא: משתתפים 60% פחות סובלים מבעיות בריאות → Professor Marcus Allen ⏐ ""We wanted to show that any city can become greener"" → Dr. Maria Santos ⏐ ממצא: רמות הלחץ ירדו ב-40% → Professor James Wu ⏐ ""A teenager who sleeps seven hours without interruption benefits more"" → Professor Yuki Tanaka (SLEEP DEBATE)","""זה ממצא אמיתי מהטקסט — אבל של החוקר השני. שאלה שמזכירה שם מבקשת רק את מה שהוא אמר או מצא.""",4/5.,L2 · L5 · שני מומחים בכל טקסט
4.c.4.6,4,Eye Catchers · שמות,L2 · דפוס P3 · טקסטים CITY GARDEN · SPORT FOR ALL,שם בשאלה = כתובת פסקה. התלמיד קורא רק את הפסקה של אותו אדם.,שם ומספר באותה שאלה,התלמיד בוחר את המצביע הספציפי יותר.,"כששאלה מכילה גם שם וגם מספר — התחל מהשם. השם מצמצם לפסקה אחת; המספר יכול להופיע בכמה מקומות. אחרי שאתה בפסקה הנכונה, המספר הוא מה שמאתר את המשפט.","MCQ · 4 פריטים · ""לפי מה מנווטים קודם?""",,,3/4.,L2 · WE DO Q3
4.c.4.7,4,Eye Catchers · שמות,L2 · דפוס P3 · טקסטים CITY GARDEN · SPORT FOR ALL,שם בשאלה = כתובת פסקה. התלמיד קורא רק את הפסקה של אותו אדם.,שער סקשן 4,,,CHECK · TIMED 8 דקות · טקסט SPORT FOR ALL,"T1: ""According to Professor Marcus Allen, how did the programme affect participants' health?"" → Participants were 60% less likely to suffer from stress-related health problems ⏐ T2: ""What does Dr. Laura Kim explain about the programme?"" → iii) Why the programme brings sport to different neighbourhoods",,80%.,
4.c.5.1,5,Eye Catchers · מילות שלילה,"L3 · דפוס P4 · טקסטים GIVING TIME, GAINING HAPPINESS · THE SLEEP QUESTION · THE BOREDOM STUDY","התלמיד עוצר אוטומטית כשהוא רואה NOT בשאלה, ומחליף את כיוון החיפוש.",מילון השלילה,זיהוי שבע מילות השלילה הנפוצות.,"שלילה באנגלית לא תמיד נראית כמו ""not"". cannot, never, without, no, fail to, hardly, almost no — כולן הופכות את משמעות המשפט. מילה אחת כזאת, ומשפט שנראה חיובי אומר בדיוק ההפך.",VOCAB · 7 מילים,"not → לא → ""not all types produce the same results"" ⏐ never → אף פעם לא → ""never try to learn"" ⏐ cannot → לא יכול → ""over 30% of adults cannot swim"" ⏐ no → אין / שום → ""no app can replace a real conversation"" ⏐ without → בלי → ""to give their time to help others without payment"" ⏐ almost no → כמעט ואין → ""the streets of Greenville had almost no plants"" ⏐ fail to → לא מצליח ל",,6/7.,
