Section,Lesson Title,Message (What to Teach),Exercise Type / Snippet
Section 4: Writing — Opinion & Description,Lesson 31: Using Adjectives Effectively,Adjectives make descriptions vivid. Learn to use them.,"Adjective upgrade: ""Replace the weak adjectives with stronger ones: 'good' → '______', 'big' → '______'."" "
Section 4: Writing — Opinion & Description,Lesson 32: Opinion Essay — Full Practice,Write a complete opinion essay on a given topic.,"Full essay: ""Write an opinion essay: 'Should schools teach students to protect the environment?'"" "
Section 5: Writing — Letters & Review,Lesson 33: Letter Format — Formal vs. Informal,Know the difference between formal and semi-formal letters.,"Format identification: ""Is this letter formal or informal? Why?"""
Section 5: Writing — Letters & Review,Lesson 34: Letter Openings & Closings,"Learn appropriate openings (""Dear Sir/Madam"") and closings (""Yours faithfully,"" ""Yours sincerely"").","Fill in the blank: ""______, I am writing to complain about..."" "
Section 5: Writing — Letters & Review,Lesson 35: Letter of Complaint,Structure a complaint letter: problem → details → requested action.,"Letter writing: ""Write a letter of complaint about a product you bought."" "
Section 5: Writing — Letters & Review,Lesson 36: Letter of Request,Structure a request letter: introduction → request → reason → thanks.,"Letter writing: ""Write a letter requesting information about a summer course."" "
Section 5: Writing — Letters & Review,Lesson 37: Review — All Writing Types,"Compare opinion essays, descriptions, and letters.","Type identification: ""Read these three texts. Which is an opinion essay? A description? A letter?"""
Section 5: Writing — Letters & Review,Lesson 38: Peer Review & Feedback,Learn to give and receive constructive feedback.,"Peer review: ""Swap essays with a partner. Use the checklist to give feedback."" "
Section 5: Writing — Letters & Review,Lesson 39: Self-Editing Checklist,Use a checklist to catch common mistakes before submitting.,"Self-edit: ""Use the checklist to review your own essay. Fix 3 things."" "
Section 5: Writing — Letters & Review,Lesson 40: Writing — Full Practice,Write any type of composition on a given prompt.,"Choice essay: ""Choose one: opinion essay, description, or letter. Write 100-150 words."" "
Section 6: Full Integration & Sprint,Lesson 41: Full Exam — Reading + Writing,Simulate the real Module C exam experience.,"Full exam: ""Read the unseen text and answer 5 questions. Then write a paragraph on the given topic."" "
Section 6: Full Integration & Sprint,Lesson 42: Exam Review — Reading,Review the reading section in detail. Learn from mistakes.,"Error analysis: ""Why did you get Question 3 wrong? What strategy could you have used?"""
Section 6: Full Integration & Sprint,Lesson 43: Exam Review — Writing,Review the writing section. Identify strengths and areas for improvement.,"Writing improvement: ""Rewrite your paragraph using the feedback."" "
Section 6: Full Integration & Sprint,Lesson 44: Vocabulary Lightning Round,Rapid-fire vocabulary review.,"Speed quiz: ""Define these 20 words in 2 minutes."" "
Section 6: Full Integration & Sprint,Lesson 45: Strategy Review — All Skills,Review all reading and writing strategies.,"Strategy sorting: ""Match each strategy to the skill it helps (skimming, scanning, inference, etc.)."" "
Section 6: Full Integration & Sprint,Lesson 46: Full Exam #2,Second full simulation to build stamina.,Full exam #2: Another unseen text + writing task.
Section 6: Full Integration & Sprint,Lesson 47: Final Review — Weak Spots,Focus on each student's personal weak spots.,"Personalized practice: ""Based on your past exams, practice these 3 question types."" "
Section 6: Full Integration & Sprint,Lesson 48: Confidence & Mindset,You are ready. Believe in yourself.,"Motivation: ""Write down 3 things you are good at in English. Share with a partner."" "
